maleIsoIndMeans,femaleIsoIndMeans,maleGroupIsoMean,femaleGroupIsoMean,day1toDay2,day2toDay3,normDay1mean,normDay2mean,normDay3mean
191.666666666667,191.666666666667,198.105128205128,198.105128205128,S001,S002,2.60167892520229,2.4977005772516,2.41294016284276
226.5,226.5,,,S003,S009,,,
178.166666666667,178.166666666667,,,S004,S012,,,
211.966666666667,211.966666666667,,,S005,S014,,,
210.666666666667,210.666666666667,,,S006,S015,,,
210.333333333333,210.333333333333,,,S007,S016,,,
232.366666666667,232.366666666667,,,S008,S017,,,
262.133333333333,262.133333333333,,,S009,S019,,,
146.166666666667,146.166666666667,,,S016,S020,,,
185.5,185.5,,,S017,S021,,,
242.666666666667,242.666666666667,,,S022,S023,,,
142.066666666667,142.066666666667,,,S023,,,,
135.166666666667,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
